Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Fouls,Yellow Cards,Red Cards
Sat,2021-05-15,17:00 (14:00),Racing Louisville,0–0,Kansas City,6622,Lynn Family Stadium,Adorae Monroy,Match Report,23,1,0
Sat,2021-05-15,19:00 (16:00),Gotham FC,1–0,Houston,,Red Bull Arena,Danielle Chesky,Match Report,26,6,0
Sat,2021-05-15,19:00,Reign,0–0,North Carolina,2104,Cheney Stadium,Karen Abt,Match Report,18,3,0
Sun,2021-05-16,18:00 (15:00),Orlando,1–1,Washington,,Exploria Stadium,Karen Callado,Match Report,12,1,0
Sun,2021-05-16,16:00,Portland,5–0,Chicago,,Providence Park,Katja Koroleva,Match Report,15,1,0
Fri,2021-05-21,19:30 (16:30),Racing Louisville,2–0,Washington,6011,Lynn Family Stadium,Katja Koroleva,Match Report,20,4,0
Sat,2021-05-22,19:00 (16:00),North Carolina,1–2,Orlando,,WakeMed Soccer Park,Alex Billeter,Match Report,12,4,0
Sat,2021-05-22,19:00 (17:00),Chicago,0–0,Gotham FC,3121,SeatGeek Stadium,Adorae Monroy,Match Report,31,4,0
Sun,2021-05-23,15:00,Portland,1–2,Reign,,Providence Park,Karen Callado,Match Report,22,4,0
Sun,2021-05-23,18:00 (16:00),Houston,2–2,Kansas City,3034,BBVA Compass Stadium,Karen Abt,Match Report,11,3,1
Wed,2021-05-26,19:00 (16:00),Orlando,2–1,Portland,3407,Exploria Stadium,Laura Rodriguez,Match Report,14,3,0
Wed,2021-05-26,19:00 (17:00),Kansas City,0–2,Chicago,5272,Field of Legends,Danielle Chesky,Match Report,18,4,0
Wed,2021-05-26,19:30 (17:30),Washington,2–1,Houston,2241,BBVA Compass Stadium,Natalie Simon,Match Report,19,4,1
Fri,2021-05-28,19:00 (16:00),North Carolina,5–0,Racing Louisville,3902,WakeMed Soccer Park,Matthew Franz,Match Report,14,1,0
Sat,2021-05-29,18:30 (16:30),Houston,2–1,Chicago,,BBVA Compass Stadium,Karen Callado,Match Report,17,2,0
Sun,2021-05-30,15:00 (12:00),Gotham FC,0–1,Portland,,Red Bull Arena,Karen Abt,Match Report,18,4,0
Sun,2021-05-30,18:00 (15:00),Orlando,1–0,Kansas City,4044,Exploria Stadium,Alyssa Nichols,Match Report,16,4,0
Sun,2021-05-30,16:00,Reign,0–1,Washington,2537,Cheney Stadium,Samantha Martinez,Match Report,21,1,0
Sat,2021-06-05,13:00 (11:00),Chicago,1–0,North Carolina,,SeatGeek Stadium,Laura Rodriguez,Match Report,13,1,0
Sat,2021-06-05,19:00 (16:00),Gotham FC,1–0,Reign,2601,Red Bull Arena,Joshua Encarnacion,Match Report,20,1,0
Sat,2021-06-05,19:30,Portland,3–0,Racing Louisville,,Providence Park,Samantha Martinez,Match Report,18,3,0
Sun,2021-06-06,13:00 (11:00),Kansas City,0–1,Houston,4265,Field of Legends,Alex Billeter,Match Report,29,5,0
Sun,2021-06-06,14:00 (11:00),Washington,1–1,Orlando,5199,Audi Field,Adorae Monroy,Match Report,18,3,0
Sat,2021-06-19,16:00 (13:00),North Carolina,2–1,Reign,5026,WakeMed Soccer Park,Karen Callado,Match Report,10,3,0
Sat,2021-06-19,19:00 (17:00),Chicago,1–1,Washington,3296,SeatGeek Stadium,Karen Abt,Match Report,14,0,0
Sun,2021-06-20,15:00 (12:00),Racing Louisville,,Houston,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-06-20,13:00,Portland,,Kansas City,,Providence Park,,Head-to-Head,
Sun,2021-06-20,18:00 (15:00),Orlando,,Gotham FC,,Exploria Stadium,,Head-to-Head,
Tue,2021-06-22,19:00,Reign,,Chicago,,Cheney Stadium,,Head-to-Head,
Wed,2021-06-23,13:00 (11:00),Kansas City,,Orlando,,Field of Legends,,Head-to-Head,
Wed,2021-06-23,19:30 (16:30),Racing Louisville,,North Carolina,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-06-26,13:00 (11:00),Chicago,,Racing Louisville,,SeatGeek Stadium,,Head-to-Head,
Sat,2021-06-26,13:00,Reign,,Gotham FC,,Cheney Stadium,,Head-to-Head,
Sat,2021-06-26,19:00 (16:00),North Carolina,,Portland,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-06-26,19:00 (17:00),Houston,,Orlando,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-06-26,19:30 (17:30),Kansas City,,Washington,,Field of Legends,,Head-to-Head,
Fri,2021-07-02,19:00 (16:00),Gotham FC,,Kansas City,,Red Bull Arena,,Head-to-Head,
Fri,2021-07-02,19:30 (16:30),Washington,,Chicago,,Segra Field,,Head-to-Head,
Fri,2021-07-02,19:30 (17:30),Houston,,Reign,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-07-03,19:30 (16:30),Racing Louisville,,Portland,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-07-04,18:00 (15:00),Orlando,,North Carolina,,Exploria Stadium,,Head-to-Head,
Fri,2021-07-09,19:00 (16:00),Orlando,,Racing Louisville,,Exploria Stadium,,Head-to-Head,
Sat,2021-07-10,19:00 (16:00),Washington,,North Carolina,,Audi Field,,Head-to-Head,
Sun,2021-07-11,12:00,Portland,,Gotham FC,,Providence Park,,Head-to-Head,
Sun,2021-07-11,17:00 (15:00),Chicago,,Houston,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-07-11,16:00,Reign,,Kansas City,,Cheney Stadium,,Head-to-Head,
Sat,2021-07-17,19:00 (16:00),North Carolina,,Houston,,WakeMed Soccer Park,,Head-to-Head,
Sun,2021-07-18,17:00 (14:00),Washington,,Gotham FC,,Segra Field,,Head-to-Head,
Sun,2021-07-18,17:00 (15:00),Chicago,,Reign,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-07-18,19:30,Portland,,Orlando,,Providence Park,,Head-to-Head,
Fri,2021-07-23,19:00 (17:00),Kansas City,,North Carolina,,Field of Legends,,Head-to-Head,
Sat,2021-07-24,19:00 (16:00),Orlando,,Reign,,Exploria Stadium,,Head-to-Head,
Sat,2021-07-24,19:30 (17:30),Houston,,Portland,,BBVA Compass Stadium,,Head-to-Head,
Sun,2021-07-25,15:00 (12:00),Racing Louisville,,Washington,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-07-25,17:00 (14:00),Gotham FC,,Chicago,,Red Bull Arena,,Head-to-Head,
Sat,2021-07-31,19:00 (16:00),North Carolina,,Orlando,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-07-31,19:00,Reign,,Racing Louisville,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-01,12:00,Portland,,Kansas City,,Providence Park,,Head-to-Head,
Sun,2021-08-01,17:00 (15:00),Chicago,,Washington,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-08-01,18:00 (16:00),Houston,,Gotham FC,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-08-07,19:00 (16:00),Gotham FC,,North Carolina,,Red Bull Arena,,Head-to-Head,
Sat,2021-08-07,19:00 (16:00),Washington,,Portland,,Segra Field,,Head-to-Head,
Sat,2021-08-07,19:00,Reign,,Houston,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-08,15:00 (12:00),Racing Louisville,,Kansas City,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-08-08,17:00 (15:00),Chicago,,Orlando,,SeatGeek Stadium,,Head-to-Head,
Fri,2021-08-13,19:30 (17:30),Houston,,Washington,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-08-14,19:00 (16:00),Orlando,,Portland,,Exploria Stadium,,Head-to-Head,
Sat,2021-08-14,19:00 (17:00),Kansas City,,Reign,,Field of Legends,,Head-to-Head,
Sun,2021-08-15,17:00 (14:00),Gotham FC,,Racing Louisville,,Red Bull Arena,,Head-to-Head,
Sun,2021-08-15,18:00 (15:00),North Carolina,,Chicago,,WakeMed Soccer Park,,Head-to-Head,
Wed,2021-08-18,19:30 (16:30),Racing Louisville,,Chicago,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-08-21,19:00 (16:00),North Carolina,,Kansas City,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-08-21,19:00,Reign,,Gotham FC,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-22,17:00 (14:00),Washington,,Orlando,,Audi Field,,Head-to-Head,
Wed,2021-08-25,19:00 (17:00),Kansas City,,Racing Louisville,,Field of Legends,,Head-to-Head,
Wed,2021-08-25,19:30,Portland,,Gotham FC,,Providence Park,,Head-to-Head,
Sat,2021-08-28,19:00 (17:00),Chicago,,Kansas City,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-08-29,17:00 (14:00),Gotham FC,,Orlando,,Red Bull Arena,,Head-to-Head,
Sun,2021-08-29,17:00 (14:00),Washington,,North Carolina,,Audi Field,,Head-to-Head,
Sun,2021-08-29,16:00,Reign,,Portland,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-29,18:00 (16:00),Houston,,Racing Louisville,,BBVA Compass Stadium,,Head-to-Head,
Wed,2021-09-01,19:00 (17:00),Houston,,Reign,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-09-04,19:00 (16:00),Gotham FC,,Chicago,,Red Bull Arena,,Head-to-Head,
Sat,2021-09-04,19:30 (16:30),Racing Louisville,,Reign,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-09-04,19:30,Portland,,Washington,,Providence Park,,Head-to-Head,
Sun,2021-09-05,18:00 (15:00),Orlando,,Houston,,Exploria Stadium,,Head-to-Head,
Sun,2021-09-05,18:00 (16:00),Kansas City,,North Carolina,,Field of Legends,,Head-to-Head,
Fri,2021-09-10,19:00 (17:00),Kansas City,,Gotham FC,,Field of Legends,,Head-to-Head,
Fri,2021-09-10,19:30 (17:30),Houston,,Chicago,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-09-11,19:00 (16:00),Orlando,,Racing Louisville,,Exploria Stadium,,Head-to-Head,
Sun,2021-09-12,17:00 (14:00),Washington,,Reign,,Audi Field,,Head-to-Head,
Sun,2021-09-12,18:00 (15:00),North Carolina,,Portland,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-09-25,15:00 (12:00),Gotham FC,,North Carolina,,Red Bull Arena,,Head-to-Head,
Sat,2021-09-25,19:00 (17:00),Chicago,,Portland,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-09-26,15:00 (12:00),Racing Louisville,,Houston,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-09-26,17:00 (14:00),Washington,,Kansas City,,Audi Field,,Head-to-Head,
Sun,2021-09-26,16:00,Reign,,Orlando,,Cheney Stadium,,Head-to-Head,
Fri,2021-10-01,19:00 (16:00),North Carolina,,Washington,,WakeMed Soccer Park,,Head-to-Head,
Fri,2021-10-01,19:30 (16:30),Racing Louisville,,Gotham FC,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-10-02,19:00 (17:00),Chicago,,Orlando,,SeatGeek Stadium,,Head-to-Head,
Sat,2021-10-02,19:00 (17:00),Kansas City,,Houston,,Field of Legends,,Head-to-Head,
Sat,2021-10-02,19:00,Portland,,Reign,,Providence Park,,Head-to-Head,
Wed,2021-10-06,19:00 (16:00),North Carolina,,Racing Louisville,,WakeMed Soccer Park,,Head-to-Head,
Wed,2021-10-06,19:00 (16:00),Gotham FC,,Washington,,Red Bull Arena,,Head-to-Head,
Wed,2021-10-06,19:00,Portland,,Houston,,Providence Park,,Head-to-Head,
Sat,2021-10-09,19:00 (16:00),Washington,,Racing Louisville,,Audi Field,,Head-to-Head,
Sat,2021-10-09,19:00 (16:00),Orlando,,Gotham FC,,Exploria Stadium,,Head-to-Head,
Sat,2021-10-09,19:30 (17:30),Houston,,North Carolina,,BBVA Compass Stadium,,Head-to-Head,
Sun,2021-10-10,16:00,Reign,,Chicago,,Cheney Stadium,,Head-to-Head,
Sun,2021-10-10,18:00 (16:00),Kansas City,,Portland,,Field of Legends,,Head-to-Head,
Sat,2021-10-16,19:30 (16:30),Racing Louisville,,Orlando,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-10-16,19:00 (17:00),Chicago,,Kansas City,,SeatGeek Stadium,,Head-to-Head,
Sat,2021-10-16,19:00,Reign,,Washington,,Cheney Stadium,,Head-to-Head,
Sun,2021-10-17,14:00 (11:00),North Carolina,,Gotham FC,,WakeMed Soccer Park,,Head-to-Head,
Sun,2021-10-17,18:00 (16:00),Houston,,Portland,,BBVA Compass Stadium,,Head-to-Head,
Fri,2021-10-29,19:00 (16:00),Orlando,,Chicago,,Exploria Stadium,,Head-to-Head,
Sat,2021-10-30,20:00 (18:00),Kansas City,,Reign,,Field of Legends,,Head-to-Head,
Sat,2021-10-30,19:00,Portland,,North Carolina,,Providence Park,,Head-to-Head,
Sun,2021-10-31,14:00 (11:00),Washington,,Houston,,Audi Field,,Head-to-Head,
Sun,2021-10-31,14:00 (11:00),Gotham FC,,Racing Louisville,,Red Bull Arena,,Head-to-Head,
